TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,"VARIATION 1 TYPE","VARIATION 1 NAME","VARIATION 1 VALUES","VARIATION 2 TYPE","VARIATION 2 NAME","VARIATION 2 VALUES",SKU
"Cable wrap, Cord holder, Cord keeper, Cord taco, Cord management, Cord organizer, Cord wrap, Wire management, Wire organizer, Cable ties","Keep your cords in order with this handmade wrap. When it is done up it looks like it is sticking it’s tongue out at you!",17,CAD,480,"cord_management,accessories,tech_accessories,headphone_wrap,cute,leather_cord_wrap,gifts_for_teens,gifts,cord_organization,leather_cable_holder,cable_organization,headphone_organizer,bunny",,https://i.etsystatic.com/19409017/r/il/e0ac0f/2024374559/il_fullxfull.2024374559_4pj3.jpg,https://i.etsystatic.com/19409017/r/il/a21746/2024374585/il_fullxfull.2024374585_nskg.jpg,https://i.etsystatic.com/19409017/r/il/136772/1825056155/il_fullxfull.1825056155_ejdi.jpg,https://i.etsystatic.com/19409017/r/il/5474dc/1825056205/il_fullxfull.1825056205_ay7z.jpg,https://i.etsystatic.com/19409017/r/il/bd96e2/1777598618/il_fullxfull.1777598618_4bdf.jpg,,,,,,Colour,"Primary colour","Black,Brown,Gold,Silver,Medium Brown,Blue,Green,Pink,Purple,Red",,,,"1oqbZd0yDmvmXa3P,D2PX37XmxqMdjzXZR,JQ0LOxk1ygz1QNWR,XdOkworamDwmrd56,a3nNDpQp2Ev5nyaP,XdlzNp9rNRd6MZQO,VaoMl44OmwbRRQzX,kA0Ovq7QNgNdoVbM,61lJD0Vrzy4yD3na,2jxEgxazR9P5M7oN"
"Bat Cable wrap, Cord holder, Cord keeper, Cord taco, Cord management, Cord organizer, Cord wrap, Wire management, Wire organizer, Cable ties","Keep your cords in order with this handmade wrap. When it is done up it looks like it is sticking it’s tongue out at you!",12,CAD,438,"bat,cord_management,accessories,tech_accessories,headphone_wrap,cute,leather_cord_wrap,gifts_for_teens,gifts,cord_organization,leather_cable_holder,cable_organization,headphone_organizer",,https://i.etsystatic.com/19409017/r/il/03bab4/1976818252/il_fullxfull.1976818252_9saw.jpg,https://i.etsystatic.com/19409017/r/il/c6f75f/2024372533/il_fullxfull.2024372533_cbq2.jpg,,,,,,,,,Colour,"Primary colour","Gold,Red,Purple,Pink,Green,Blue,Medium Brown,Silver,Brown,Black",,,,"mw7rRl0ldwvV88QO,LXN7nzbR9Omw9l0O,yZQQJ4520jpg5Jmo,omVk5znr4YkWV44X,Vq8V1xpDqb1z38mM,PwwvAgnwJj7pd6rD,v2qmO84Px24qZmwb,68LYAMEd4ZjZbpkJ,QWraVd8QLR9Vnkda,aMbgj5dkdLajY3Mg"
"Custom Dog Hair Accessories Leather Cheshire Cat in the Hat","Custom hair accessories for your adorable fluffy friend! Select the colour that you would like!",20,CAD,49,"dog_bow,dog_accessories,dog_hat,cute_dog,Pet_supplies,Pet_accessories,shih_tzu_hair_bow,dog_hair_bows,puppy_bow,yorkie_bow,maltese_bow,custom_dog_bow,alice_in_wonderland",,https://i.etsystatic.com/19409017/r/il/41b745/1786350646/il_fullxfull.1786350646_k0b1.jpg,https://i.etsystatic.com/19409017/r/il/cad5ee/1786350844/il_fullxfull.1786350844_s7a7.jpg,,,,,,,,,,,,,,,
"Customizable Leather Journal Cover Night Sky","Hand dyed, hand stitched leather notebook cover. Three sizes available- composition book, regular or pocket Moleskin size. Your choice of graphics and/or text on the front. Vegetable tanned leather hand dyed dark blue with waxed black stitching.",62,CAD,147,"night_sky,celestial_journal,custom_bullet,leather_journal,leather_book_cover,office,stationary,planner,diary,gifts,accessories,bullet_journal,moleskin_cover",,https://i.etsystatic.com/19409017/r/il/1e61ea/2577298308/il_fullxfull.2577298308_l522.jpg,https://i.etsystatic.com/19409017/r/il/41f817/2525395631/il_fullxfull.2525395631_dhju.jpg,https://i.etsystatic.com/19409017/r/il/a7d3df/2090579302/il_fullxfull.2090579302_av3l.jpg,https://i.etsystatic.com/19409017/r/il/4672f7/2090579374/il_fullxfull.2090579374_2jjs.jpg,https://i.etsystatic.com/19409017/r/il/284d88/2525395381/il_fullxfull.2525395381_esfv.jpg,https://i.etsystatic.com/19409017/r/il/e8eb53/2525395483/il_fullxfull.2525395483_b6cz.jpg,,,,,Size,Size,"7.54x9.75,5x8.25,4x6",,,,"W6a982vgz84p4x5D,4M1qMMYLQoYyzxpM,74QRYbpwok22r5Ok"
"Cable wrap, Cord holder, Cord keeper, Cord taco, Cord management, Cord organizer, Cord wrap, Wire management, Wire organizer, Cable ties","Keep your cords in order with this handmade wrap. When it is done up it looks like it is sticking it’s tongue out at you!",17,CAD,480,"cord_management,accessories,tech_accessories,headphone_wrap,cute,leather_cord_wrap,gifts_for_teens,gifts,cord_organization,leather_cable_holder,cable_organization,headphone_organizer,puppy",,https://i.etsystatic.com/19409017/r/il/6e4e2a/1825056933/il_fullxfull.1825056933_og4n.jpg,https://i.etsystatic.com/19409017/r/il/eaffe9/1825056979/il_fullxfull.1825056979_1wog.jpg,https://i.etsystatic.com/19409017/r/il/3b8f90/1825057021/il_fullxfull.1825057021_8ced.jpg,,,,,,,,Colour,"Primary colour","Black,Brown,Gold,Silver,Medium Brown,Blue,Green,Pink,Purple,Red",,,,"kdJw8X1Xd1pLl4XQ,mX3JgmvQ9QkZy1Mm,bmr7NkdN5aOVz1N7,XRm91QlV8b77ADLDy,Dz8734lo5QbVRlaO,1L6oQbAm0dgzdJp0,vxvkbjakvmzbpj14,b4zOkM5bNE1LJDv7,ayNzaLbvm24dYqZE,W8vQda9ZRnPAnVyd5"
"Leather Anatomical Heart Coffee Sleeve","Protect your fingers in style with this celtic knot leather coffee sleeve. Fits most commercial take-out coffee cups. Vegetable tanned leather dyed Bordeaux with double capped antique brass rivet closures.",20,CAD,48,"Kitchen,Accessories,Cup_Holder,Gifts,Gifts_for_Men,Gifts_for_Teacher,Leather,Reusable,Celtic_knot,Coffee_sleeve,Celtic,Custom,personalize_gift",,https://i.etsystatic.com/19409017/r/il/ee754b/1839477823/il_fullxfull.1839477823_t2of.jpg,https://i.etsystatic.com/19409017/r/il/0a086f/1792015312/il_fullxfull.1792015312_lzih.jpg,,,,,,,,,,,,,,,
"Celtic Knot Leather Book Cover","Hand dyed, hand stitched leather notebook cover. Fits pocket Moleskin size 9x14cm. Laser etched celtic knot symbol on the front. Vegetable tanned leather hand dyed Bordeaux with waxed black stitching.",62,CAD,8,"leather_book_cover,cover,office,stationary,planner,celtic_knot,diary,gifts_for_men,gifts_for_teens,gifts,accessories,bullet_journal,moleskin_cover",,https://i.etsystatic.com/19409017/r/il/63fd14/2247054831/il_fullxfull.2247054831_7jp2.jpg,https://i.etsystatic.com/19409017/r/il/d5eabe/1753782860/il_fullxfull.1753782860_h6vl.jpg,https://i.etsystatic.com/19409017/r/il/0c8a60/1801235881/il_fullxfull.1801235881_clyy.jpg,,,,,,,,,,,,,,
"Anatomical Heart Single Pocket Leather Card Holder","A handmade, hand dyed leather card wallet that can hold up to 5 cards. Vegetable tanned leather dyed Bordeaux with black waxed thread stitching.",37,CAD,10,"steampunk,heart,gifts_for_men,gifts_for_groomsmen,gifts,card_holder,card_wallet,leather,accessories,celtic_knot,gifts_for_teacher,mens_accessories,womens_accessories",,https://i.etsystatic.com/19409017/r/il/247e59/1891697905/il_fullxfull.1891697905_p7n7.jpg,https://i.etsystatic.com/19409017/r/il/12bdc8/1882131751/il_fullxfull.1882131751_hl0m.jpg,https://i.etsystatic.com/19409017/r/il/829f65/1835936357/il_fullxfull.1835936357_kvy0.jpg,https://i.etsystatic.com/19409017/r/il/3c40a3/1835936481/il_fullxfull.1835936481_dvlo.jpg,,,,,,,,,,,,,
"Celtic Knot Lether Six Pocket Bifold Wallet","Hand dyed hand stitched bi fold wallet. Vegetable tanned leather hand dyed in bordeaux with black waxed thread stitching. Laser etched celtic knotwork completes the look.",87,CAD,1,"leather,wallet,gifts,gifts_for_men,gifts_for_groomsmen,gifts_for_teens,gifts_for_women,womens_accessories,mens_accessories,celtic_knot,vikings,handmade,hand_dyed",,https://i.etsystatic.com/19409017/r/il/01db3f/1753886166/il_fullxfull.1753886166_gtw8.jpg,https://i.etsystatic.com/19409017/r/il/dd05ed/1753885970/il_fullxfull.1753885970_ki0r.jpg,,,,,,,,,,,,,,,
"Custom cutting board, Wedding gift Cutting Board, Anniversary gift, Housewarming gift, Engraved cutting board, Keepsake, Heirloom","Laser engraved bamboo cutting board to commemorate your special day or occasion. Available in 3 sizes 11 inch x 14 inch (27.9 cm x 35.5 cm), 8 inch x 10 inch (20.3 cm x 13.9 cm), 8 inch x 5.5 inch (20.3 cm x 13.9 cm).

I recommend this board for decorative use and not every day kitchen use. Absolutely do not put them in the dishwasher!",45,CAD,147,"engraved,wedding_memories,housewarming_gift,keepsake,bamboo_cutting_board,personalized_gift,custom_cutting_board,anniversary_gift,wedding_gift,Kitchen,Gifts,Home_and_Dining,Custom",,https://i.etsystatic.com/19409017/r/il/0fb48b/1969904286/il_fullxfull.1969904286_j0zl.jpg,https://i.etsystatic.com/19409017/r/il/6584d9/1969904238/il_fullxfull.1969904238_bh6r.jpg,https://i.etsystatic.com/19409017/r/il/6d8df6/2017456415/il_fullxfull.2017456415_hdgm.jpg,https://i.etsystatic.com/19409017/r/il/e6aeb3/2017456441/il_fullxfull.2017456441_7xib.jpg,,,,,,,Dimensions,Dimensions,"11 x 14,8 x 10,8 x 5.5",,,,"50XqYPpl1qO9bRRw,A52grOqdb1RNNNk6,rL8M318RW170opdw"
